name,address,region
ATM Danamon Swalayan Batunuggal,Jl.  Batununggal Indah I 21,bandung
Roda Mas Motor,"Jl.  Batuceper 12, Batu Ceper, Batu Ceper",jakarta
Sri Rejeki Kios,Pasar Kumbasari III Blok L/98,denpasar
SMP Mutiara Bunda,Jl.  Padang Golf 11,bandung
Rumah Sakit Umum Dr Saiful Anwar,Jl.  Jaksa Agung Suprapto 2,malang
CV Ana Motor,Jl.  Bandar Buat 8,padang
Dauhter Semesta Butik,Jl.  Proklamasi 4 D,jakarta
Lodaya Jaya Motor,Jl.  Lodaya 7 Burangrang Lengkong,bandung
SD Negeri 06 Pagi,Jl.  Bhinneka IV,jakarta
House Of Lea Bridal Salon,Kompleks Darmo Hill N/17,surabaya
ATM Ekonomi Ruko Jasper,Jl.  Boulevard Ruko Jasper IIF A 30,makassar
Toko Leo,Jl KH Wahid Hasyim 53,semarang
CV Duta Putra Kreasindo,Jl.  Brigjen Katamso 437-A,medan
SMA Muhammadiyah Ponjong,Jl.  Lingkar Jati 1,yogyakarta
Beauty SPA Salon,Jl.  Patih Jelantik,denpasar
Apotik Palmeriam,Jl.  Palmeriam 8-A,jakarta
SMA Dorowati,Jl.  Manukan Blok 3-L/43-45,surabaya
SMK Bopkri 1,"Jl.  Cik Ditiro 37, Terban, Gondokusuman",yogyakarta
PT Virkanika Dwiviwani,Shop House Blok F-1/32,batam
Ny Grace Supena Sundah SH,Jl. Gandaria III No.5 B-C  Kebayoran Baru -,jakarta
Toko Oleh-Oleh  Anda,Jl.  Wates Km 4 5 Ngestiharjo Kasihan,yogyakarta
Toko Berlian,Jl Somba Opu 2 G,makassar
ATM BJB Margo City Depok,Jl.  Margonda Raya  358,depok
LRizho Beauty Salon,Jl Aries Munandar 14,malang
Taman Bhagawan,Jl.  Raya Pratama,denpasar
Bank Mitraniaga PT,Jl.  Raya Muara Karang 239,jakarta
Toko Angga,Pasar Cempaka Putih Los A/47,jakarta
Kassanda Guest House,Jl.  Dharmahusada 122 Mojo Gubeng,surabaya
Grand Palace Hotel,Jl.  Tentara Pelajar 50,makassar
Jempol Kedai,Jl.  Palmerah Barat 12,jakarta
Inan Salon,Psr Inpres Bl J/1,balikpapan
Toko Otto,Jl Beringin Pasar Inpres 64,surabaya
Benteng Vredeburg,Jl.  A. Yani,yogyakarta
PT Blue Diamond,Jl.  Cibadak 278,bandung
TK Kosgoro,Jl.  Sujono Gg Melati 57,malang
Sunggal Hotel,Jl.  Pantai Barat 16,medan
Apotik Sidayu Farma,Jl.  Pahlawan 13,gresik
Jijoyu Catering,Jl.  Sunter Kirana Blok I/1,jakarta
